WIPRO,ALBK,AMBUJACEM,ANDHRABANK,ASHOKLEY,ASIANPAINT,BHARATFORG,BHEL,CAIRN,CANBK,CENTURYTEX,COLPAL,DLF,DRREDDY,GMRINFRA,HCLTECH,HDFCBANK,HINDALCO,ICICIBANK,IOB,IGL,INDUSINDBK,KTKBANK,LUPIN,MRF,M&M,MCLEODRUSS,ONGC,ORIENTBANK,PNB,RECLTD,SRTRANSFIN,SAIL,SUNPHARMA,SYNDIBANK,TATACHEM,TCS,TITAN,UCOBANK,ULTRACEMCO,UNITECH,MCDOWELL-N,VOLTAS,YESBANK
0.464088784,0.359276184,-0.035711936,0.504513415,0.573901694,-0.043285589,0.406124744,0.718543586,0.255312157,0.338204506,1,-0.044852004,0.818830903,0.101267095,0.628739164,0.14412574,0.061437807,0.473460014,0.527516284,0.445218005,-0.055213147,0.013188405,0.779932068,-0.026417018,0.205134351,0.1666987,0.320176688,0.705669189,0.525489396,0.508355232,0.753928001,0.317320301,0.813242672,-0.169008153,0.355906139,0.423408136,-0.031836806,-0.156180926,0.335192107,0.05185946,0.8074453,0.682839258,0.774519402,0.275384552
0.523516567,0.456508186,0.944350061,0.352833309,0.440145769,0.972764142,0.507509247,-0.58003435,0.729130674,0.440623376,-0.044852004,1,-0.417268559,0.874217046,-0.759399462,0.914652769,0.967156224,0.177958792,0.623887032,0.018537051,0.52689771,0.963892043,0.194198256,0.94879448,0.922874251,0.890498103,0.842697272,0.30988167,0.364528597,0.268540475,0.246998417,0.639362973,-0.473301368,0.96585849,0.675575219,0.607504303,0.899416275,0.940707277,0.418620539,0.938259069,-0.545573343,0.274163418,-0.05678029,0.905787513
0.130495801,0.042068779,-0.387974522,0.226708849,0.222300975,-0.430014422,0.110628689,0.774395657,-0.090462887,0.048136502,0.818830903,-0.417268559,1,-0.297867385,0.84744336,-0.258957376,-0.32639974,0.236702253,0.183089821,0.36120134,-0.293945293,-0.381186443,0.556990337,-0.424247534,-0.199540671,-0.220895923,-0.084438993,0.538558292,0.203514743,0.247591112,0.45808042,-0.059848968,0.776097336,-0.514883362,0.027518949,0.073650358,-0.3937876,-0.516950944,0.044461187,-0.33328577,0.944264483,0.386236678,0.599287859,-0.141022866
0.809472192,0.775412211,0.857514103,0.673917135,0.726043689,0.913240303,0.803840651,-0.269033419,0.907430671,0.769576757,0.101267095,0.874217046,-0.297867385,1,-0.622962286,0.93223672,0.911797621,0.581397552,0.807208991,0.391841521,0.742415842,0.944596888,0.307646315,0.95479346,0.879130743,0.956209384,0.833087962,0.54139895,0.65936478,0.643731246,0.532504052,0.869889229,-0.168681837,0.859996559,0.832862504,0.854485325,0.964129221,0.902281433,0.727114515,0.794931697,-0.400246424,0.334125523,0.303136906,0.918866301
-0.161392973,-0.189299155,-0.73128614,0.003479302,-0.019368079,-0.762216544,-0.171008983,0.836757401,-0.396341182,-0.191877095,0.628739164,-0.759399462,0.84744336,-0.622962286,1,-0.623150409,-0.683669811,0.065971973,-0.181686052,0.202873214,-0.494319286,-0.725601089,0.342805984,-0.7448596,-0.558979913,-0.592298463,-0.463805878,0.222265385,-0.032023208,0.040717873,0.230686839,-0.345058949,0.805575774,-0.825320289,-0.330638219,-0.247006864,-0.726699667,-0.814592718,-0.163759067,-0.667251672,0.924045317,0.159105035,0.465674755,-0.524245758
0.744918767,0.651425287,0.889829408,0.559716969,0.591984864,0.935026724,0.700228843,-0.329390395,0.863444328,0.63615914,0.14412574,0.914652769,-0.258957376,0.93223672,-0.623150409,1,0.948976487,0.473357427,0.817592828,0.285431724,0.590640633,0.947488622,0.330333489,0.935871735,0.904368207,0.929933368,0.919282887,0.488870413,0.563134706,0.502803531,0.453720611,0.80247822,-0.214107249,0.894636256,0.805873424,0.775964628,0.949167035,0.90451126,0.608425345,0.879354088,-0.387369365,0.417072814,0.213408786,0.947109271
0.610185225,0.572480999,0.958116309,0.485337037,0.538288084,0.973387649,0.619071735,-0.462634726,0.810066467,0.55753766,0.061437807,0.967156224,-0.32639974,0.911797621,-0.683669811,0.948976487,1,0.31915206,0.750445696,0.160796254,0.571488301,0.982417164,0.293993916,0.962496301,0.934525802,0.930572312,0.883517149,0.424803568,0.500264133,0.404907486,0.374151618,0.74139352,-0.355261459,0.957445088,0.773658724,0.706911991,0.926730411,0.948410492,0.548290768,0.937417233,-0.464199835,0.354401304,0.092069944,0.945664107
0.841717053,0.889163428,0.211989672,0.876071894,0.786172327,0.292461887,0.849459019,0.529053667,0.675065773,0.89406073,0.473460014,0.177958792,0.236702253,0.581397552,0.065971973,0.473357427,0.31915206,1,0.774071853,0.872855025,0.607558994,0.364700184,0.506757703,0.37763504,0.315301942,0.530742351,0.430612578,0.68309045,0.851538047,0.930017575,0.78139404,0.801893218,0.557256484,0.164804273,0.697433253,0.813111723,0.491862571,0.301494804,0.854870909,0.122709024,0.226229886,0.453185516,0.829496957,0.4554098
0.830152185,0.846840564,0.64370893,0.840843706,0.78096076,0.681806587,0.837177689,0.184709861,0.825382379,0.850572912,0.527516284,0.623887032,0.183089821,0.807208991,-0.181686052,0.817592828,0.750445696,0.774071853,1,0.678572281,0.574691399,0.74088448,0.679693353,0.706016934,0.722980836,0.829328399,0.792440436,0.775104883,0.848184842,0.805631555,0.77220657,0.905615657,0.25471254,0.585485015,0.924453693,0.887049457,0.743003465,0.657399406,0.829619686,0.606457196,0.072340394,0.647693104,0.656400399,0.838436487
0.655253273,0.819895802,0.024591113,0.855563132,0.655503528,0.128942702,0.742905662,0.599814987,0.504738444,0.819230405,0.445218005,0.018537051,0.36120134,0.391841521,0.202873214,0.285431724,0.160796254,0.872855025,0.678572281,1,0.525059422,0.197174251,0.530920103,0.181580709,0.143887814,0.359395387,0.275386961,0.657275273,0.793166673,0.875597019,0.681314171,0.668651141,0.538414222,-0.011036314,0.666689997,0.699556406,0.294999146,0.173591401,0.805178994,-0.093224138,0.331121929,0.362185149,0.800904578,0.302102923
